"","Total_Score","Liked_By_Members","Quality_Of_Life_Score","Family_Score","Community_Score","Cost","Internet","Fun","Humidity_now","Air_Quality_Now","Air_Quality_Annual","Safety","Food_Safety","Lack_Of_Crime","Lack_Of_Racism","Education_Level","Power_Grid","Vulnerability_To_Climate_Change","Income_Level","English_Speaking","People_Density","Walkability","Peace","Traffic_Safety","Hospitals","Happiness","Nightlife","Free_Wifi_In_City","Places_To_Work_From","AC_Or_Heating","Friendly_To_Foreigners","Freedom_Of_Speech","Female_Friendly","LGBTQ_Friendly","Startup_Score","City","Rank","Unliked_By_Members","Temperature_now_celcius","Temperature_now_Farenheight","Temperature_now_Feels_Like_Celcius","Temperature_now_Feels_Like_Farenheight"
"188",2.59,67,"Good","Good","Okay","4,983 ",147,"Good",63,NA,25,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Okay","Good","Great","Good","Good","Good","Okay","Great","Okay","fort-lauderdale",188,33,28,83,30,86
"189",2.58,NA,"Okay","Okay","Okay","1,965 ",60,"Okay",50,62,56,"Great","Good","Good","Okay","Mediocre","Great","Bad","452 ","Okay",NA,"Great","Okay","Okay","Bad","Okay","Okay","Okay","Great","Great","Great","Good","Okay","Bad","Okay","nis",189,NA,21,69,21,70
"190",2.58,NA,"Good","Good","Okay","3,471 ",30,"Good",78,NA,20,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",NA,"Great","Okay","Okay","Great","Bad","Good","Okay","Great","Okay","Great","Good","Good","Great","Okay","liverpool",190,NA,8,47,5,41
"191",2.58,NA,"Okay","Okay","Okay","1,561 ",58,"Okay",64,NA,NA,"Good","Good","Good","Bad","Low","Great","Good","245 ","Bad",NA,"Bad","Okay","Bad",NA,"Bad","Bad","Okay","Great","Bad","Great","Okay","Okay","Bad","Bad","taghazout",191,NA,21,70,21,70
"192",2.58,NA,"Okay","Okay","Okay","1,516 ",23,"Okay",70,NA,NA,"Great","Good","Great","Okay","High","Great","Good","1,013 ","Okay",NA,"Okay","Good","Okay","Okay","Okay","Bad","Okay","Great","Bad","Okay","Good","Bad","Bad","Okay","dubrovnik",192,NA,18,64,18,64
"193",2.58,NA,"Okay","Okay","Okay","1,968 ",35,"Okay",68,62,56,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Okay",NA,"Great","Good","Okay","Good","Okay","Okay","Bad","Great","Bad","Okay","Good","Good","Okay","Okay","lublin",193,NA,9,48,7,45
"194",2.58,NA,"Okay","Okay","Okay","941 ",17,"Okay",82,NA,153,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",12,"Great","Okay","Bad",NA,"Okay","Bad","Okay","Great","Okay","Good","Okay","Bad","Bad","Bad","bandung",194,NA,26,79,29,84
"195",2.58,NA,"Okay","Okay","Okay","1,300 ",26,"Good",74,NA,27,"Good","Good","Good",NA,"Mediocre","Great","Good","792 ","Okay",NA,"Great","Good","Bad","Bad","Bad","Bad","Bad","Great","Okay","Good","Okay","Bad","Bad","Okay","kota-kinabalu",195,NA,29,84,33,91
"196",2.58,NA,"Okay","Okay","Okay","2,007 ",31,"Okay",57,13,54,"Good","Great","Good","Bad","High","Great","Good","622 ","Okay",NA,"Great","Good","Okay","Bad","Bad","Okay","Okay","Great","Good","Good","Good","Okay","Okay","Okay","varna",196,NA,23,73,23,73
"197",2.58,NA,"Good","Okay","Okay","1,682 ",22,"Great",95,NA,41,"Okay","Great","Okay","Good","High","Great","Good","1,037 ","Okay",NA,"Great","Okay","Okay","Okay","Bad","Bad","Bad","Great","Great","Great","Good","Okay","Great","Okay","la-plata",197,NA,22,71,22,72
"198",2.58,NA,"Good","Okay","Okay","1,481 ",34,"Okay",65,NA,126,"Great","Good","Great","Okay","High","Great","Okay","2,048 ","Bad",NA,"Great","Okay","Okay","Great","Good","Okay","Great","Great","Great","Great","Good","Great","Great","Bad","kaohsiung",198,NA,28,83,30,86
"199",2.58,NA,"Okay","Okay","Okay","2,158 ",37,"Great",66,NA,NA,"Good","Good","Good","Good","Low","Very bad","Good","142 ","Okay",NA,"Bad","Bad","Bad",NA,"Bad","Great","Okay","Good","Okay","Okay","Okay","Okay","Okay","Okay","goa",199,NA,33,92,41,106
"200",2.57,67,"Okay","Okay","Okay","3,245 ",24,"Okay",74,NA,NA,"Great","Great","Great","Okay","High","Great","Okay","2,607 ","Okay",4,"Great","Okay","Okay","Good","Bad","Okay","Okay","Good","Okay","Okay","Good","Okay","Bad","Okay","palermo",200,33,17,63,18,64
"201",2.57,NA,"Okay","Okay","Okay","2,270 ",31,"Okay",47,34,29,"Good","Great","Good","Bad","High","Great","Good","622 ","Okay",NA,"Great","Good","Okay",NA,"Bad","Okay","Great","Great","Great","Good","Good","Okay","Bad","Okay","plovdiv",201,NA,26,78,27,81
"202",2.57,50,"Okay","Bad","Okay","1,219 ",56,"Okay",43,49,37,"Good","Great","Good","Bad","Mediocre",NA,"Good","905 ","Bad",NA,"Great","Bad","Okay","Great","Okay","Bad","Bad","Great","Okay","Okay","Okay","Okay","Bad","Bad","izmir",202,50,24,75,24,75
"203",2.57,NA,"Good","Okay","Okay","3,330 ",90,"Okay",43,NA,26,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Great","Great","Good","Bad","Great","Okay","columbus",203,NA,23,73,23,73
"204",2.57,NA,"Okay","Okay","Okay","2,017 ",25,"Bad",74,56,NA,"Great","Good","Great","Bad","High","Great","Good","1,013 ","Good",NA,"Great","Good","Okay","Bad","Okay","Bad","Good","Great","Good","Good","Good","Good","Bad","Okay","zadar",204,NA,18,64,18,64
"205",2.57,67,"Okay","Okay","Okay","3,254 ",79,"Okay",88,NA,24,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Okay","Great","Great","Great","Great","Good","Bad","Great","Okay","salt-lake-city",205,33,16,60,16,61
"206",2.57,NA,"Okay","Okay","Okay","2,789 ",57,"Okay",85,NA,35,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Good","Bad","Okay","Good",NA,NA,NA,"Good","Okay","Great","Okay","mcallen",206,NA,32,89,46,115
"207",2.57,50,"Okay","Bad","Okay","1,239 ",60,"Good",62,62,NA,"Good","Good","Good","Okay","Low","Great",NA,"181 ","Bad",NA,"Okay","Okay","Bad",NA,"Bad","Okay","Okay","Great","Bad","Good","Bad","Okay","Okay","Bad","nha-trang",207,50,31,88,36,97
"208",2.56,NA,"Good","Good","Okay","3,665 ",29,"Good",84,NA,40,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Good",3,"Great","Good","Okay",NA,"Bad","Good","Okay","Great","Bad","Great","Great","Great","Great","Okay","frankfurt",208,NA,6,43,3,37
"209",2.56,NA,"Okay","Okay","Okay","1,273 ",107,"Good",65,NA,NA,"Good","Bad","Good","Okay","Mediocre","Great","Okay","493 ","Bad",NA,"Bad","Okay","Bad",NA,"Good","Bad","Bad","Great","Okay","Good","Okay","Great","Good","Bad","ko-lanta",209,NA,30,86,34,93
"210",2.56,NA,"Okay","Okay","Okay","1,417 ",80,"Bad",70,NA,NA,"Okay","Great","Okay","Okay","High","Great","Good","1,037 ","Okay",NA,"Bad","Okay","Okay","Okay","Bad","Okay","Okay","Great","Bad","Okay","Good","Bad","Great","Bad","mendoza",210,NA,21,69,21,70
"211",2.56,NA,"Okay","Okay","Okay","936 ",14,"Bad",28,NA,124,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Good",NA,"Great","Bad","Bad","Okay","Bad","Okay","Bad","Great","Okay","Bad","Okay","Okay","Bad","Okay","jaipur",211,NA,33,91,32,90
"212",2.56,NA,"Okay","Bad","Okay","1,088 ",15,"Okay",29,NA,53,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Okay",12,"Bad","Bad","Bad","Okay","Bad","Okay","Bad","Great","Bad","Good","Okay","Okay","Bad","Bad","pune",212,NA,36,97,37,99
"213",2.56,NA,"Okay","Bad","Okay","1,337 ",14,"Good",22,NA,119,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Good",NA,"Bad","Bad","Bad",NA,"Bad","Okay","Okay","Great","Good","Good","Okay","Bad","Bad","Okay","agra",213,NA,36,98,35,95
"214",2.56,NA,"Okay","Okay","Okay","1,528 ",8,"Good",74,NA,162,"Great","Good","Good","Good","Low","Great",NA,"231 ","Okay",NA,"Great","Good","Okay","Bad","Bad","Okay","Okay","Good","Okay","Great","Good","Good","Okay","Okay","thimphu",214,NA,12,53,12,54
"215",2.56,50,"Okay","Good","Good","5,956 ",132,"Bad",75,NA,32,"Good","Great","Good","Okay","High","Great","Good","4,817 ","Great",7,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Good","Okay","Good","Okay","Great","Good","san-francisco",215,50,14,57,14,57
"216",2.56,NA,"Okay","Bad","Good","1,713 ",37,"Great",67,NA,NA,"Bad","Okay","Very bad","Okay","Low","Great","Good","346 ","Bad",NA,"Great","Okay","Okay",NA,"Bad","Okay","Okay","Great","Bad","Great","Okay","Bad","Bad","Bad","antigua",216,NA,28,82,30,86
"217",2.56,NA,"Good","Good","Good","5,032 ",99,"Great",66,48,56,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",3,"Great","Bad","Okay","Great","Bad","Great","Great","Great","Great","Great","Good","Okay","Great","Good","los-angeles",217,NA,17,62,18,64
"218",2.55,NA,"Good","Good","Okay","3,083 ",35,"Okay",89,NA,17,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Good",NA,"Great","Good","Okay","Great","Bad","Good","Good","Great","Bad","Good","Great","Great","Great","Okay","aachen",218,NA,7,45,4,39
"219",2.55,NA,"Okay","Okay","Okay","1,631 ",75,"Great",96,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",5,"Great","Okay","Bad","Great","Bad","Okay","Bad","Great","Bad","Good","Good","Bad","Great","Bad","porto-alegre",219,NA,27,80,33,91
"220",2.55,NA,"Good","Okay","Okay","3,440 ",82,"Good",46,44,62,"Good","Good","Good","Okay","High","Great","Okay","1,969 ","Good",NA,"Great","Okay","Okay","Bad","Okay","Okay","Okay","Bad",NA,NA,"Good","Good","Okay","Okay","larnaca",220,NA,23,73,23,73
"221",2.55,NA,"Okay","Bad","Okay","1,000 ",15,"Okay",24,NA,193,"Good","Good","Good","Okay","Low","Very bad","Good","142 ","Okay",NA,"Great","Bad","Bad","Bad","Bad","Good","Bad","Great","Bad","Okay","Okay","Bad","Bad","Bad","noida",221,NA,35,95,34,93
"222",2.54,NA,"Okay","Okay","Okay","1,724 ",17,"Good",58,175,NA,"Bad","Good","Very bad","Okay","Mediocre","Okay","Great","425 ","Great",3,"Great","Bad","Bad","Okay","Bad","Good","Good","Great","Good","Okay","Good","Okay","Great","Okay","pretoria",222,NA,22,71,22,72
"223",2.54,NA,"Okay","Okay","Okay","1,356 ",21,"Okay",92,NA,NA,"Okay","Great","Okay","Okay","High","Great","Good","1,037 ","Okay",NA,"Bad","Okay","Okay","Okay","Bad","Okay","Okay","Good","Okay","Okay","Good","Okay","Great","Bad","rosario",223,NA,23,74,23,73
"224",2.54,67,"Okay","Okay","Okay","2,621 ",18,"Good",73,NA,NA,"Okay","Great","Bad","Okay","Mediocre","Great","Great","704 ","Bad",NA,"Great","Bad","Okay",NA,"Bad","Good","Okay","Great","Good","Good","Okay","Okay","Great","Bad","cozumel",224,33,29,83,33,91
"225",2.54,NA,"Okay","Okay","Okay","2,120 ",6,"Okay",80,4,NA,"Good","Good","Good","Good","High","Great","Good","433 ","Great",NA,"Bad",NA,"Okay",NA,NA,"Bad","Bad","Great","Okay","Bad","Good","Okay","Bad","Okay","suva",225,NA,27,81,31,88
"226",2.54,NA,"Good","Okay","Okay","1,847 ",45,"Okay",68,38,78,"Great","Good","Great","Okay","High","Great","Good","2,315 ","Bad",NA,"Okay","Okay","Okay","Good","Okay","Okay","Great","Great","Good","Good","Good","Good","Bad","Bad","gwangju",226,NA,17,62,18,64
"227",2.53,NA,"Okay","Okay","Okay","2,570 ",35,"Okay",59,53,54,"Great","Great","Great","Bad","High","Great","Good","1,028 ","Okay",4,"Great","Good","Okay","Great","Okay","Okay","Okay","Great","Great","Good","Good","Bad","Okay","Okay","katowice",227,NA,10,51,9,48
"228",2.53,NA,"Good","Good","Okay","3,142 ",35,"Okay",68,NA,13,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Good",NA,"Great","Good","Okay","Great","Bad","Good","Good","Great","Bad","Great","Great","Great","Great","Okay","dresden",228,NA,8,47,6,43
"229",2.53,NA,"Okay","Bad","Okay","1,509 ",73,"Good",90,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Okay",NA,"Bad","Okay","Bad","Bad","Bad","Okay","Good","Good","Bad","Good","Good","Okay","Great","Bad","belem",229,NA,29,84,37,99
"230",2.53,NA,"Okay","Okay","Okay","2,575 ",177,"Bad",90,NA,27,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Good","Bad","Good",NA,"Great","Great","Good","Good","Okay","Great","Okay","ogden",230,NA,15,60,15,59
"231",2.53,NA,"Good","Okay","Okay","2,009 ",42,"Okay",64,57,79,"Great","Good","Great","Okay","High","Great","Good","2,315 ","Okay",NA,"Great","Okay","Okay","Great","Okay","Bad","Good","Great","Good","Good","Good","Good","Bad","Bad","suwon",231,NA,15,59,15,59
"232",2.53,NA,"Okay","Okay","Okay","2,785 ",46,"Good",82,NA,42,"Good","Great","Good","Okay","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Okay","Okay","Bad","Good","Okay","Good","Bad","Great","Okay","tulsa",232,NA,29,84,35,95
"233",2.53,NA,"Okay","Okay","Okay","1,476 ",22,"Good",86,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Okay",5,"Great","Okay","Bad","Good","Bad","Bad","Okay","Great","Okay","Good","Good","Okay","Great","Bad","fortaleza",233,NA,29,85,36,97
"234",2.53,NA,"Good","Good","Okay","4,405 ",153,"Good",75,38,31,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",6,"Great","Good","Okay","Great","Great","Okay","Good","Great","Okay","Great","Great","Great","Great","Okay","the-hague",234,NA,10,49,8,46
"235",2.53,NA,"Okay","Bad","Okay","1,004 ",7,"Good",94,NA,NA,"Okay","Good","Bad","Bad","Mediocre","Great","Bad","489 ","Good",NA,"Bad",NA,"Bad","Bad",NA,"Okay","Okay","Great","Okay","Good",NA,"Bad","Bad","Okay","paramaribo",235,NA,30,86,41,106
"236",2.53,NA,"Good","Okay","Okay","2,775 ",98,"Okay",39,NA,27,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Good","Bad","Okay","Good",NA,NA,NA,"Good","Good","Great","Okay","elkhart",236,NA,23,74,23,73
"237",2.53,NA,"Okay","Okay","Okay","1,921 ",13,"Okay",43,53,31,"Good","Okay","Good",NA,"Mediocre","Great","Good","341 ","Okay",6,"Bad","Okay","Bad","Good","Bad","Okay","Okay","Great","Okay","Okay","Okay","Bad","Bad","Bad","amman",237,NA,24,75,24,75
"238",2.52,NA,"Good","Good","Okay","4,345 ",90,"Great",67,NA,20,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Good","Bad","Great","Great","Great","Good","Bad","Great","Okay","portland",238,NA,11,52,10,50
"239",2.52,NA,"Okay","Okay","Okay","2,690 ",31,"Bad",50,37,26,"Good","Great","Good","Bad","High","Great","Good","622 ","Good",NA,"Great","Good","Okay","Bad","Bad","Bad","Great","Great","Good","Good","Good","Great","Bad","Okay","burgas",239,NA,24,76,24,75
"240",2.52,NA,"Good","Okay","Okay","1,558 ",26,NA,68,NA,NA,"Great","Great","Great",NA,"High","Great","Good","1,436 ","Bad",NA,"Great","Okay","Okay",NA,"Okay",NA,NA,NA,"Okay",NA,"Good",NA,NA,"Bad","corfu",240,NA,19,66,20,68
"241",2.52,NA,"Okay","Bad","Okay","1,411 ",15,"Great",26,NA,163,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Bad",NA,"Great","Bad","Bad",NA,"Bad","Bad","Bad","Great","Okay","Bad","Okay","Bad","Bad","Bad","gurgaon",241,NA,35,95,34,93
"242",2.52,NA,"Okay","Bad","Okay","921 ",16,"Bad",69,NA,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",7,"Great","Okay","Bad","Bad","Okay","Bad","Okay","Great","Okay","Okay","Okay","Okay","Bad","Bad","surabaya",242,NA,31,87,37,99
"243",2.52,NA,"Okay","Okay","Okay","993 ",16,"Okay",80,50,NA,"Great","Okay","Great","Great","Mediocre","Great","Good","298 ","Bad",NA,"Great","Okay","Bad",NA,"Okay","Bad","Bad","Great","Bad","Okay","Okay","Okay","Bad","Bad","sanur",243,NA,28,83,32,90
"244",2.52,NA,"Good","Okay","Okay","2,409 ",9,"Good",82,70,147,"Great","Great","Great",NA,"Mediocre","Great","Very bad","1,882 ","Okay",NA,"Great","Bad","Okay","Okay","Good","Good","Bad","Great","Good","Great","Okay","Good","Bad","Okay","manama",244,NA,24,74,24,75
"245",2.52,NA,"Okay","Okay","Okay","1,125 ",12,"Okay",68,NA,NA,"Good","Good","Okay","Okay","Mediocre","Great","Okay","246 ","Good",NA,"Great","Bad","Okay",NA,"Bad","Okay","Okay","Bad","Bad","Good","Okay","Okay","Okay","Bad","general-santos",245,NA,28,83,30,86
"246",2.51,NA,"Good","Good","Okay","3,827 ",111,"Good",77,NA,27,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",1,"Great","Bad","Okay","Great","Bad","Bad","Good","Great","Good","Good","Good","Okay","Great","Okay","dallas",246,NA,31,88,40,104
"247",2.51,NA,"Good","Good","Okay","3,514 ",35,"Good",87,NA,14,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Good",NA,"Great","Good","Okay",NA,"Bad","Okay","Bad","Great","Bad","Good","Great","Great","Great","Okay","nuremberg",247,NA,7,44,5,41
"248",2.51,NA,"Good","Good","Okay","3,408 ",30,"Okay",74,NA,33,"Great","Great","Great","Great","High","Great","Good","3,354 ","Great",NA,"Great","Okay","Okay","Great","Bad","Good","Okay","Great","Bad","Good","Good","Great","Great","Okay","nottingham",248,NA,8,47,6,43
"249",2.51,NA,"Okay","Okay","Okay","2,652 ",50,"Okay",92,NA,33,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Okay","Bad","Okay","Good",NA,NA,NA,"Good","Okay","Great","Okay","brownsville",249,NA,25,76,25,77
"250",2.51,NA,"Okay","Okay","Okay","1,857 ",80,"Okay",84,44,51,"Bad","Good","Very bad","Okay","Mediocre","Okay","Great","425 ","Good",4,"Great","Bad","Bad","Bad","Bad","Bad","Bad","Great","Bad","Good","Good","Okay","Great","Okay","durban",250,NA,22,72,22,72
"251",2.51,NA,"Okay","Okay","Okay","2,091 ",36,"Bad",54,47,94,"Good","Good","Good","Okay","Mediocre","Great","Bad","452 ","Okay",NA,"Great","Okay","Okay","Bad","Okay","Okay","Good","Great","Okay","Okay","Good","Good","Bad","Okay","novi-sad",251,NA,23,73,23,73
"252",2.5,NA,"Okay","Okay","Okay","1,205 ",13,"Good",75,NA,NA,"Good","Okay","Good","Bad","High","Good","Good","326 ","Okay",NA,"Bad","Okay","Okay",NA,"Bad","Good","Okay","Okay","Okay","Great","Okay","Bad","Bad","Bad","arugam-bay",252,NA,30,86,36,97
"253",2.5,NA,"Okay","Okay","Okay","1,394 ",19,"Great",92,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",8,"Great","Okay","Bad","Bad","Bad","Bad","Bad","Great",NA,"Good","Good","Okay","Great","Bad","recife",253,NA,30,87,41,106
"254",2.5,NA,"Okay","Okay","Okay","2,677 ",53,"Okay",23,NA,31,"Good","Great","Good","Great","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Good","Bad","Okay","Good",NA,NA,NA,"Good","Okay","Great","Okay","yuma",254,NA,22,71,22,72
"255",2.5,NA,"Okay","Okay","Okay","1,259 ",20,"Good",85,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",NA,"Great","Okay","Bad","Okay","Bad","Great","Good","Great","Good","Good","Good","Bad","Great","Bad","natal",255,NA,30,86,39,102
"256",2.5,NA,"Okay","Okay","Okay","1,703 ",12,"Good",70,NA,47,"Good","Good","Okay","Bad","Mediocre","Great","Okay","246 ","Good",NA,"Great","Bad","Okay",NA,"Bad","Okay","Okay","Bad",NA,NA,"Okay","Okay","Bad","Bad","la-union",256,NA,29,85,33,91
"257",2.5,NA,"Okay","Bad","Okay","1,091 ",47,"Good",74,NA,NA,"Good","Okay","Good","Bad","High","Good","Good","326 ","Bad",NA,"Bad","Okay","Okay",NA,"Bad","Bad","Okay","Great","Okay","Good","Okay","Bad","Bad","Bad","matara",257,NA,30,87,36,97
"258",2.5,NA,"Okay","Okay","Okay","1,416 ",17,"Okay",99,NA,77,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Bad",4,"Great","Okay","Bad","Great","Bad","Okay","Good","Great","Bad","Good","Good","Okay","Great","Bad","curitiba",258,NA,26,79,31,88
"259",2.5,NA,"Bad","Bad","Okay","1,465 ",5,"Okay",79,NA,NA,"Okay","Okay","Okay",NA,"Low","Very bad","Great","181 ","Good",18,"Great","Bad","Bad","Okay","Bad","Good","Bad","Great","Bad","Good","Good","Bad","Bad","Okay","lagos",259,NA,30,87,37,99
"260",2.5,NA,"Good","Good","Okay","3,328 ",34,"Good",66,18,31,"Great","Good","Great","Great","Very high","Great","Good","3,353 ","Great",NA,"Great","Good","Okay","Great","Okay","Okay","Okay","Great","Okay","Great","Great","Great","Great","Okay","christchurch",260,NA,16,60,16,61
"261",2.5,NA,"Okay","Bad","Okay","1,250 ",16,"Bad",31,46,62,"Good","Great","Good","Bad","Mediocre",NA,"Good","905 ","Bad",7,"Great","Bad","Okay","Great","Okay","Bad","Okay","Great","Bad","Okay","Okay","Bad","Bad","Bad","ankara",261,NA,22,71,22,72
"262",2.49,NA,"Okay","Okay","Okay","945 ",24,"Okay",77,48,32,"Good","Good","Good","Bad","Mediocre","Great","Good","792 ","Okay",NA,"Great","Good","Bad","Okay","Bad","Bad","Okay","Great","Okay","Okay","Okay","Okay","Bad","Okay","kuching",262,NA,31,88,40,104
"263",2.49,75,"Good","Good","Okay","4,173 ",89,"Great",86,36,35,"Great","Great","Great","Good","High","Great","Okay","3,538 ","Good",2,"Great","Good","Okay","Great","Bad","Okay","Bad","Great","Bad","Good","Great","Great","Great","Okay","hamburg",263,25,6,42,4,39
"264",2.49,NA,"Good","Good","Okay","4,664 ",96,"Good",78,35,31,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",4,"Great","Good","Okay","Great","Great","Okay","Good","Great","Okay","Great","Great","Great","Great","Okay","utrecht",264,NA,10,50,8,46
"265",2.49,NA,"Okay","Bad","Okay","753 ",16,"Okay",82,NA,NA,"Great","Okay","Great","Good","Mediocre","Great","Good","298 ","Bad",NA,"Great","Okay","Bad",NA,"Okay","Okay","Bad","Great","Bad","Okay","Okay","Bad","Bad","Bad","makassar",265,NA,28,83,32,90
"266",2.49,NA,"Okay","Okay","Okay","1,317 ",21,"Good",84,NA,NA,"Okay","Great","Okay","Good","High","Great","Good","1,037 ","Okay",NA,"Great","Okay","Okay",NA,"Bad","Okay","Okay","Bad",NA,NA,"Good","Okay","Great","Bad","salta",266,NA,19,67,19,66
"267",2.49,NA,"Okay","Bad","Okay","1,088 ",15,"Good",21,NA,175,"Good","Good","Good","Bad","Low","Very bad","Good","142 ","Okay",NA,"Great","Bad","Bad","Bad","Bad","Okay","Bad","Great","Bad","Good","Okay","Bad","Bad","Bad","vadodara",267,NA,40,104,40,104
"268",2.49,NA,"Okay","Okay","Okay","1,176 ",45,"Bad",80,NA,NA,"Bad","Great","Very bad","Good","Mediocre","Great","Good","721 ","Okay",3,"Great","Okay","Bad","Good","Bad","Good","Okay","Great","Good","Okay","Good","Okay","Great","Bad","goiania",268,NA,28,83,32,90
"269",2.49,NA,"Okay","Bad","Okay","1,660 ",11,"Okay",55,NA,NA,"Good","Good","Good","Bad","Low","Great","Good","245 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Okay","Bad","Great","Great","Okay","Okay","Bad","Bad","Bad","agadir",269,NA,25,77,25,77
"270",2.48,73,"Good","Okay","Good","5,496 ",26,"Great",62,NA,44,"Great","Great","Great","Bad","High","Great","Okay","2,607 ","Bad",3,"Great","Okay","Okay","Bad","Bad","Okay","Bad","Great","Bad","Good","Good","Okay","Bad","Okay","rome",270,27,18,64,18,64
"271",2.48,NA,"Okay","Okay","Okay","1,916 ",32,"Okay",76,65,98,"Good","Good","Good",NA,"High","Great","Good","580 ","Bad",NA,"Great","Okay","Okay","Bad","Okay","Bad","Okay","Great","Okay","Okay","Good","Okay","Okay","Bad","podgorica",271,NA,16,61,16,61
"272",2.48,NA,"Good","Okay","Okay","2,491 ",36,"Great",84,NA,NA,"Great","Great","Great","Bad","High","Great","Good","2,225 ","Okay",NA,"Okay","Okay","Okay",NA,"Bad","Bad","Great","Okay","Okay","Great","Good","Good","Great","Okay","menorca",272,NA,16,61,16,61
"273",2.48,NA,"Okay","Bad","Okay","1,360 ",60,"Good",56,NA,NA,"Good","Bad","Good","Okay","Mediocre","Great","Okay","493 ","Bad",NA,"Great","Okay","Bad",NA,"Good","Okay","Bad","Great","Bad","Good","Okay","Okay","Bad","Bad","krabi",273,NA,33,92,38,100
"274",2.48,NA,"Good","Okay","Okay","2,246 ",34,"Good",84,59,50,"Great","Great","Great",NA,"High","Great",NA,"1,374 ","Okay",NA,"Great","Good","Okay","Good","Good","Bad","Okay","Great","Okay","Okay","Great","Good","Bad","Okay","kosice",274,NA,17,63,17,63
"275",2.48,NA,"Good","Good","Okay","3,754 ",30,"Good",81,NA,30,"Good","Great","Great","Great","High","Great","Good","3,354 ","Great",4,"Great","Okay","Okay","Great","Bad","Bad","Okay","Great","Bad","Good","Good","Great","Great","Okay","birmingham",275,NA,8,46,6,43
"276",2.48,NA,"Good","Good","Okay","3,616 ",111,"Good",60,NA,36,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Great","Bad","Okay","Okay","Great","Great","Great","Good","Good","Great","Okay","kansas-city",276,NA,26,79,27,81
"277",2.48,NA,"Okay","Okay","Okay","2,682 ",49,"Okay",72,NA,25,"Good","Great","Good","Good","High","Great","Good","4,817 ","Great",NA,"Great","Bad","Okay","Good","Bad","Okay","Good",NA,NA,NA,"Good","Bad","Great","Okay","amarillo",277,NA,26,79,28,82
"278",2.48,NA,"Okay","Bad","Okay","1,920 ",11,"Okay",64,NA,NA,"Good","Good","Good","Okay","Low","Great","Good","245 ","Bad",NA,"Great","Okay","Bad",NA,"Bad","Bad","Okay","Great","Okay","Good","Okay","Bad","Bad","Bad","tangier",278,NA,23,73,23,73
"279",2.47,NA,"Good","Good","Okay","3,226 ",29,"Bad",58,30,25,"Good","Great","Good","Great","High","Great","Great","3,513 ","Great",NA,"Great","Good","Okay","Great","Okay","Bad","Bad","Great","Bad","Great","Great","Great","Great","Okay","edmonton",279,NA,13,55,13,55
"280",2.47,50,"Good","Good","Okay","3,959 ",53,"Okay",78,36,15,"Great","Great","Great","Good","High","Great","Very bad","3,813 ","Great",3,"Great","Good","Okay","Great","Great","Okay","Good","Great","Bad","Good","Great","Great","Great","Okay","eindhoven",280,50,10,50,8,46
